1	1	2	0.0139	-71.94244604	175
2	1	3	0.2112	-4.734848485	175
3	1	5	0.0845	-11.83431953	175
4	2	4	0.1267	-7.892659826	175
5	2	6	0.192	-5.208333333	175
6	3	9	0.119	-8.403361345	175
7	3	24	0.0839	-11.91895113	400
8	4	9	0.1037	-9.643201543	175
9	5	10	0.0883	-11.32502831	175
10	6	10	0.0605	-16.52892562	175
11	7	8	0.0614	-16.28664495	175
12	8	9	0.1651	-6.056935191	175
13	8	10	0.1651	-6.056935191	175
14	9	11	0.0839	-11.91895113	400
15	9	12	0.0839	-11.91895113	400
16	10	11	0.0839	-11.91895113	400
17	10	12	0.0839	-11.91895113	400
18	11	13	0.0476	-21.00840336	500
19	11	14	0.0418	-23.92344498	500
20	12	13	0.0476	-21.00840336	500
21	12	23	0.0966	-10.35196687	500
22	13	23	0.0865	-11.56069364	500
23	14	16	0.0389	-25.70694087	500
24	15	16	0.0173	-57.80346821	500
25	15	21	0.049	-20.40816327	500
26	15	21	0.049	-20.40816327	500
27	15	24	0.0519	-19.26782274	500
28	16	17	0.0259	-38.61003861	500
29	16	19	0.0231	-43.29004329	500
30	17	18	0.0144	-69.44444444	500
31	17	22	0.1053	-9.496676163	500
32	18	21	0.0259	-38.61003861	500
33	18	21	0.0259	-38.61003861	500
34	19	20	0.0396	-25.25252525	500
35	19	20	0.0396	-25.25252525	500
36	20	23	0.0216	-46.2962963	500
37	20	23	0.0216	-46.2962963	500
38	21	22	0.0678	-14.74926254	500
