1	1	20	0	142.36
2	1	20	0	142.36
3	1	76	0	21.29
4	1	76	0	21.29
5	2	20	0	142.36
6	2	20	0	142.36
7	2	76	0	21.29
8	2	76	0	21.29
9	7	100	0	83.8
10	7	100	0	83.8
11	7	100	0	83.8
12	13	197	0	86.49
13	13	197	0	86.49
14	13	197	0	86.49
15	15	12	0	105.45
16	15	12	0	105.45
17	15	12	0	105.45
18	15	12	0	105.45
19	15	12	0	105.45
20	15	155	0	18.43
21	16	155	0	18.43
22	18	400	0	2.21
23	21	400	0	2.21
24	22	50	0	0
25	22	50	0	0
26	22	50	0	0
27	22	50	0	0
28	22	50	0	0
29	22	50	0	0
30	23	155	0	18.43
31	23	155	0	18.43
32	23	350	0	18.74
